price_date,price_value_price,price_value_yield
2025-01-30,93.85,5.52
2025-01-31,93.8,5.52
2025-02-03,93.55,5.55
2025-02-04,93.4,5.56
2025-02-05,94.05,5.5
2025-02-06,95.0,5.42
2025-02-07,95.0,5.42
2025-02-10,94.5,5.46
2025-02-11,94.45,5.47
2025-02-12,94.0,5.51
2025-02-13,93.15,5.58
2025-02-14,93.9,5.52
2025-02-18,94.4,5.47
2025-02-19,93.85,5.52
2025-02-20,93.95,5.51
2025-02-21,94.2,5.49
2025-02-24,94.7,5.45
2025-02-25,95.0,5.42
2025-02-26,95.25,5.4
2025-02-27,95.65,5.37
2025-02-28,95.85,5.35
2025-03-03,95.85,5.35
2025-03-04,96.55,5.29
2025-03-05,95.95,5.34
2025-03-06,95.3,5.4
2025-03-07,95.55,5.38
2025-03-10,95.4,5.39
2025-03-11,95.45,5.38
2025-03-12,94.95,5.43
2025-03-13,94.7,5.45
2025-03-14,94.4,5.47
2025-03-17,94.2,5.49
2025-03-18,94.15,5.5
2025-03-19,93.7,5.53
2025-03-20,94.65,5.45
2025-03-21,94.55,5.46
2025-03-24,93.3,5.57
2025-03-25,92.85,5.61
2025-03-26,92.5,5.64
2025-03-27,92.3,5.66
2025-04-08,90.95,5.78
2025-04-08,90.95,5.78
2025-04-08,90.95,5.78
2025-04-08,90.95,5.78
2025-04-09,87.45,6.1
2025-04-10,90.1,5.86
2025-04-11,88.25,6.03
2025-04-14,88.45,6.01
2025-04-15,89.95,5.87
2025-04-16,89.85,5.88
2025-04-17,90.2,5.85
2025-04-21,90.1,5.86
2025-04-22,89.65,5.9
2025-04-23,90.85,5.79
2025-04-24,91.25,5.75
2025-04-25,92.3,5.66
2025-04-28,92.85,5.61
2025-04-29,93.1,5.59
2025-04-30,93.4,5.56
2025-05-02,92.55,5.64
2025-05-05,92.15,5.67
2025-05-06,91.35,5.74
2025-05-07,92.05,5.68
2025-05-08,93.15,5.58
2025-05-09,92.95,5.6
2025-05-14,92.3,5.66
2025-05-15,91.9,5.7
2025-05-16,93.35,5.57
2025-05-19,92.2,5.67
2025-05-20,92.5,5.64
2025-05-21,92.25,5.66
2025-05-22,91.1,5.77
2025-05-23,91.65,5.72
2025-05-27,92.35,5.66
2025-05-28,92.55,5.64
2025-06-02,92.9,5.61
2025-06-03,92.85,5.61
2025-06-04,92.9,5.61
2025-06-05,93.6,5.55
2025-06-10,93.45,5.56
2025-06-11,93.75,5.53
2025-06-12,94.2,5.49
2025-06-13,94.95,5.43
2025-06-16,94.0,5.51
2025-06-17,93.7,5.54
2025-06-18,93.85,5.53
2025-06-20,94.0,5.51
2025-06-23,93.95,5.52
2025-06-24,94.3,5.49
2025-06-25,94.7,5.45
2025-06-26,94.85,5.44
2025-06-30,94.95,5.43
2025-07-01,95.7,5.37
2025-07-02,96.15,5.33
2025-07-03,96.3,5.32
2025-07-07,96.0,5.34
2025-07-08,95.4,5.39
2025-07-09,94.95,5.43
2025-07-10,95.45,5.39
2025-07-11,95.2,5.41
2025-07-14,94.55,5.47
2025-07-15,94.6,5.46
2025-07-16,94.4,5.48
2025-07-17,94.35,5.48
2025-07-18,94.7,5.45
2025-07-21,94.7,5.45
2025-07-22,95.15,5.41
2025-07-23,95.45,5.39
2025-07-24,95.15,5.41
2025-07-25,95.45,5.39
2025-07-28,95.55,5.38
2025-07-29,95.45,5.39
2025-07-30,96.25,5.32
2025-07-31,96.1,5.33
2025-08-01,95.85,5.35
2025-08-04,96.15,5.33
2025-08-05,96.7,5.28
2025-08-06,96.55,5.29
2025-08-07,96.45,5.3
2025-08-08,96.5,5.3
2025-08-11,96.6,5.29
2025-08-12,96.65,5.29
2025-08-13,96.85,5.27
2025-08-14,97.65,5.2
2025-08-15,97.3,5.23
2025-08-19,96.95,5.26
2025-08-20,97.1,5.25
2025-08-21,96.95,5.26
2025-08-22,96.7,5.28
2025-08-25,97.2,5.24
2025-08-26,97.0,5.26
2025-08-27,96.6,5.29
2025-08-28,96.55,5.29
2025-08-29,96.85,5.27
2025-09-02,95.95,5.35
2025-09-03,95.35,5.4
2025-09-04,96.2,5.32
2025-09-08,97.75,5.19
2025-09-09,97.3,5.23
2025-09-10,97.55,5.21
2025-09-11,98.0,5.17
2025-09-12,98.95,5.1
2025-09-15,98.8,5.11
2025-09-16,99.05,5.09
2025-09-17,98.8,5.11
2025-09-18,98.7,5.12
2025-09-19,98.55,5.13
2025-09-22,97.9,5.18
2025-09-23,97.75,5.19
2025-09-24,98.1,5.17
2025-09-25,98.05,5.17
2025-09-26,97.75,5.19
2025-09-29,97.85,5.19
2025-09-30,98.1,5.17
2025-10-01,98.0,5.17
2025-10-02,98.25,5.15
2025-10-03,98.4,5.14
2025-10-06,98.1,5.17
2025-10-07,98.15,5.16
2025-10-08,98.15,5.16
2025-10-09,98.35,5.14
2025-10-10,98.25,5.15
2025-10-14,98.6,5.12
2025-10-15,98.4,5.14
2025-10-16,98.65,5.12
2025-10-17,99.1,5.08
2025-10-20,99.1,5.08
2025-10-21,99.25,5.07
2025-10-22,99.75,5.03
2025-10-23,100.05,5.01
2025-10-24,99.8,5.03
2025-10-27,99.75,5.03
2025-10-28,100.3,4.99
2025-10-29,100.05,5.01
2025-10-30,99.6,5.04
2025-10-31,99.4,5.06
2025-11-03,99.5,5.05
2025-11-04,99.2,5.08
2025-11-05,99.1,5.08
2025-11-06,98.8,5.11
2025-11-06,98.8,5.11
2025-11-06,98.8,5.11
2025-11-06,98.8,5.11
2025-11-07,98.95,5.1
2025-11-10,98.85,5.1
2025-11-12,98.95,5.1
2025-11-13,99.0,5.09
2025-11-14,98.9,5.1
2025-11-17,98.55,5.13
2025-11-18,98.35,5.15
2025-11-19,98.25,5.15
2025-11-20,98.2,5.16
2025-11-21,98.3,5.15
2025-11-24,98.35,5.15
2025-11-25,98.45,5.14
2025-11-26,98.55,5.13
2025-11-28,98.7,5.12
2025-12-01,98.7,5.12
2025-12-02,98.1,5.17
2025-12-03,98.2,5.16
2025-12-04,98.45,5.14
2025-12-05,98.45,5.14
2025-12-08,98.25,5.15
2025-12-09,98.2,5.16
2025-12-10,98.1,5.17
2025-12-11,98.8,5.11
2025-12-12,98.5,5.13
2025-12-15,98.35,5.15
2025-12-16,98.35,5.15
2025-12-17,98.35,5.15
2025-12-18,98.45,5.14
2025-12-19,98.6,5.12
2025-12-22,98.55,5.13
2025-12-23,98.6,5.12
2025-12-29,98.6,5.12
2025-12-30,98.7,5.12
2026-01-02,98.25,5.15
2026-01-05,98.15,5.16
2026-01-06,97.95,5.18
2026-01-07,97.9,5.18
2026-01-08,97.9,5.18
2026-01-09,97.9,5.18
2026-01-12,97.7,5.2
2026-01-13,97.5,5.22
2026-01-14,97.45,5.22
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-15,97.65,5.2
2026-01-20,96.9,5.27
2026-01-20,96.9,5.27
2026-01-20,96.9,5.27
2026-01-20,96.9,5.27
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-21,96.6,5.29
2026-01-22,97.0,5.26
2026-01-23,97.1,5.25
2026-01-26,97.1,5.25
2026-01-27,97.3,5.23
2026-01-28,97.3,5.23
2026-01-29,97.25,5.24
2026-01-30,96.9,5.27
2026-02-02,96.5,5.3
2026-02-03,96.25,5.32
2026-02-04,96.45,5.31
2026-02-05,96.6,5.29
2026-02-06,96.55,5.3
